month,symbol,signal,vol,carry,rank,weight
2017-11,ZC,0.0030583,0.11517025,-0.16293706,6.0,-0.0390625
2017-12,ZC,-0.01668075,0.1037406,-0.13920617,1.0,-0.1171875
2018-01,ZC,-0.01087246,0.1016045,-0.13106307,4.0,-0.0703125
2018-02,ZC,-0.00985837,0.12664986,-0.11872904,4.0,-0.0703125
2018-03,ZC,-0.00067448,0.08544557,-0.13200453,5.0,-0.0546875
2018-04,ZC,0.00329319,0.09109112,-0.12662764,6.0,-0.0390625
2018-05,ZC,0.00255377,0.06974882,-0.13453843,5.0,-0.0546875
2018-06,ZC,0.00636111,0.08796369,-0.15112649,5.0,-0.0546875
2018-07,ZC,0.00500101,0.20448635,-0.15078081,6.0,-0.0390625
2018-08,ZC,0.01068324,0.21301368,-0.15698176,6.0,-0.0390625
2018-09,ZC,0.00096705,0.21242041,-0.13169376,3.0,-0.0859375
2018-10,ZC,0.00400115,0.19725156,-0.13730448,3.0,-0.0859375
2018-11,ZC,0.00875035,0.20117883,-0.12269997,4.0,-0.0703125
2018-12,ZC,0.00958016,0.20785124,-0.12639424,6.0,-0.0390625
2019-01,ZC,0.00635473,0.12951955,-0.13756409,4.0,-0.0703125
2019-02,ZC,0.00338549,0.1013806,-0.14300896,5.0,-0.0546875
2019-03,ZC,-0.00419075,0.08025861,-0.16703638,4.0,-0.0703125
2019-04,ZC,-0.00394055,0.0947376,-0.16001945,4.0,-0.0703125
2019-05,ZC,0.00302644,0.08165095,-0.12092807,4.0,-0.0703125
2019-06,ZC,0.01609486,0.26935517,-0.06175037,9.0,0.0078125
2019-07,ZC,0.02129169,0.27185816,-0.09660183,8.0,-0.0078125
2019-08,ZC,0.01461032,0.29106677,-0.12962006,5.0,-0.0546875
2019-09,ZC,0.01524184,0.32897415,-0.11723492,7.0,-0.0234375
2019-10,ZC,0.02364487,0.32752196,-0.08905644,11.0,0.0390625
2019-11,ZC,0.0156545,0.32732539,-0.10668366,8.0,-0.0078125
2019-12,ZC,0.00732302,0.17435849,-0.1054032,6.0,-0.0390625
2020-01,ZC,0.0134038,0.17540954,-0.08057026,8.0,-0.0078125
2020-02,ZC,0.02322615,0.16903972,-0.02806259,10.0,0.0234375
2020-03,ZC,0.03728054,0.09729963,-0.09155024,13.0,0.0703125
2020-04,ZC,0.02451512,0.06880589,-0.16119894,7.0,-0.0234375
2020-05,ZC,0.0530084,0.09727861,-0.0763634,12.0,0.0546875
2020-06,ZC,0.04812997,0.15469168,-0.04497067,10.0,0.0234375
2020-07,ZC,0.06613151,0.15830081,-0.13734186,11.0,0.0390625
2020-08,ZC,0.08237958,0.15974078,-0.10514459,14.0,0.0859375
2020-09,ZC,0.07840504,0.22392179,-0.10008372,13.0,0.0703125
2020-10,ZC,0.08364857,0.22735272,-0.04918099,13.0,0.0703125
2020-11,ZC,0.08510946,0.13438678,-0.06134561,13.0,0.0703125
2020-12,ZC,0.10014805,0.13494276,0.00899088,12.0,0.0546875
2021-01,ZC,0.09346829,0.16026998,-0.00529705,12.0,0.0546875
2021-02,ZC,0.09997509,0.12434758,0.08410112,12.0,0.0546875
2021-03,ZC,0.11524551,0.15525832,0.18043921,13.0,0.0703125
2021-04,ZC,0.19127597,0.15944377,0.56603843,16.0,0.1171875
2021-05,ZC,0.1206479,0.32106734,0.8010846,16.0,0.1171875
2021-06,ZC,0.16290991,0.36513344,1.08144833,15.0,0.1015625
